ts,REFERENCE_PRICE,STRATEGY1,STRATEGY2,STRATEGY3
2017-05-08 09:30:04.592,103.12328228916869,103.2331059528542,103.15517609235354,103.30003352356349
2017-05-08 09:30:09.926,103.13708349362707,103.21676644050574,103.2371134279229,103.32532285498075
2017-05-08 09:30:14.943,103.11197620774959,103.22026900817526,103.1685305861345,103.23308763593418
2017-05-08 09:30:19.910,103.06705942704353,103.231870973197,103.22860963080971,103.2314071799317
2017-05-08 09:30:24.797,103.10310996721375,103.22436488921504,103.20927069808758,103.31181582429386
2017-05-08 09:30:29.984,103.1058562987472,103.22797485307855,103.19955426803664,103.2387806292599
2017-05-08 09:30:34.972,103.10996172525405,103.21112368177462,103.24234489724523,103.24096237064165
2017-05-08 09:30:39.533,103.07203993794548,103.17003778797688,103.21131715510609,
2017-05-08 09:30:44.965,103.13376586966129,103.211191254632,103.20226718544919,103.24209100519761
2017-05-08 09:30:49.710,103.20646231775666,,103.24624828213578,103.24038512048102
2017-05-08 09:30:54.939,103.10742013663597,103.22905509921043,103.2624886655552,103.25503792411939
2017-05-08 09:30:59.979,103.13603937082279,103.18126803616262,103.24591251019436,103.25046688644323
2017-05-08 09:31:04.993,103.1202794768794,103.24857965715948,103.20105902502387,103.26222507077728
2017-05-08 09:31:09.974,103.13215514036753,103.24564471316464,103.23656727221912,103.14754386712133
2017-05-08 09:31:14.905,103.14170224743721,103.1667013339965,103.21646134242249,103.2835179982865
2017-05-08 09:31:19.827,103.07004173839528,103.2327902363939,103.25900095643264,103.13937239228926
2017-05-08 09:31:24.624,103.08757598235229,103.22976594057246,103.28530268300712,103.23162536166286
2017-05-08 09:31:29.993,103.12831228420629,103.24716679448788,103.19991652055228,103.25070074797824
2017-05-08 09:31:34.943,103.09961890100413,103.24660766573272,103.23435980535658,103.25154001000652
2017-05-08 09:31:39.913,103.11199111777688,103.24984518702334,103.23649768820314,103.2589253789877
2017-05-08 09:31:44.916,103.18521651158471,103.22097952262607,103.22529726413626,103.24696825679034
2017-05-08 09:31:49.777,103.11545761148665,103.27273993548958,103.22421229420368,103.24282355407969
2017-05-08 09:31:54.956,103.10548409582897,103.20756875522936,103.19475633702936,103.24309661150846
2017-05-08 09:31:59.938,103.09351575113135,103.20077445451379,103.19791491957575,
2017-05-08 09:32:04.988,103.05526373098435,103.2096842735439,103.2465957864759,103.21052095396412
2017-05-08 09:32:09.820,103.14357064299907,103.25221177165527,103.26497092192905,103.24402916749256
2017-05-08 09:32:14.818,103.12158918605267,103.23373425733226,103.22967205324079,103.26266135977713
2017-05-08 09:32:18.418,103.10663690091434,103.26395296256938,103.22796159374066,103.25603453557405
2017-05-08 09:32:24.903,103.10722542452183,103.23168252228261,103.20610562323333,103.22093422898439
2017-05-08 09:32:29.638,103.08934193066251,103.2615485413746,103.26561658866198,103.19111661028526
2017-05-08 09:32:34.955,103.13501022995068,103.3134721129606,103.30999684993083,103.26649204931456
2017-05-08 09:32:39.797,103.10547638143234,103.21642955143594,103.21794297265559,103.20728301824198
2017-05-08 09:32:44.894,103.09617541790112,103.26203578749364,,103.24210914829051
2017-05-08 09:32:49.620,103.08348850104292,103.1995026580928,103.22996606955095,103.19346266200124
2017-05-08 09:32:54.963,103.07404228579763,103.24252755052044,103.1940919486247,103.25771106996918
2017-05-08 09:32:59.999,103.08400690690682,103.24326211661483,103.21297969901792,103.23769979461706
2017-05-08 09:33:04.494,103.0894808824018,103.25247792664116,103.18018348306883,103.2341209071859
2017-05-08 09:33:09.795,103.08898449621987,103.23104118622314,103.22435950544727,103.14219721267932
2017-05-08 09:33:13.977,103.08592121097894,103.21939573257298,103.2804548612179,103.19613334968955
2017-05-08 09:33:19.891,103.10661887411212,103.18161660100714,103.20947283817966,103.22537974667853
2017-05-08 09:33:24.995,103.05111375463828,103.25193659807576,103.23998285270275,103.28630281880854
2017-05-08 09:33:29.990,103.07828104534416,103.22706621238306,103.22400379711756,103.23360901156464
2017-05-08 09:33:34.986,103.10018420004053,103.23435648263654,103.21409255540799,103.27973208839687
2017-05-08 09:33:39.980,103.08042427219813,103.21748076107494,103.2012282093946,103.23215905222985
2017-05-08 09:33:44.945,103.11015985143482,103.17400770286082,103.21491908973059,103.18512233796007
2017-05-08 09:33:49.883,103.06967204518618,103.25500581582148,103.24805878331968,103.09023011864656
2017-05-08 09:33:54.686,103.09834218652504,103.24572422758776,103.22853948466475,103.16573933528385
2017-05-08 09:33:59.677,103.1069532350636,103.18686601163364,103.2324450188039,103.23396920838486
2017-05-08 09:34:04.658,103.07591063692931,103.22292310051597,103.1857741252964,103.27819489710413
2017-05-08 09:34:09.332,103.08873651208953,103.20914203545281,103.2012729814776,103.27126635242736
2017-05-08 09:34:14.984,103.0849799611447,103.23253322184505,103.2153149155411,103.21574809384386
2017-05-08 09:34:19.860,103.09208592673157,103.22573211212055,103.2012211072535,103.2301986384022
